Order Date,Category,Sales
8/11/2017,Furniture,261.96
8/11/2017,Furniture,731.94
12/6/2017,Office Supplies,14.62
11/10/2016,Furniture,957.5775
11/10/2016,Office Supplies,22.368
9/6/2015,Furniture,48.86
9/6/2015,Office Supplies,7.28
9/6/2015,Technology,907.152
9/6/2015,Office Supplies,18.504
9/6/2015,Office Supplies,114.9
9/6/2015,Furniture,1706.184
9/6/2015,Technology,911.424
15/04/2018,Office Supplies,15.552
5/12/2017,Office Supplies,407.976
22/11/2016,Office Supplies,68.81
22/11/2016,Office Supplies,2.544
11/11/2015,Office Supplies,665.88
13/05/2015,Office Supplies,55.5
27/08/2015,Office Supplies,8.56
27/08/2015,Technology,213.48
27/08/2015,Office Supplies,22.72
9/12/2017,Office Supplies,19.46
9/12/2017,Office Supplies,60.34
16/07/2018,Furniture,71.372
25/09/2016,Furniture,1044.63
16/01/2017,Office Supplies,11.648
16/01/2017,Technology,90.57
17/09/2016,Furniture,3083.43
17/09/2016,Office Supplies,9.618
17/09/2016,Furniture,124.2
17/09/2016,Office Supplies,3.264
17/09/2016,Office Supplies,86.304
17/09/2016,Office Supplies,6.858
17/09/2016,Office Supplies,15.76
19/10/2018,Office Supplies,29.472
8/12/2017,Technology,1097.544
8/12/2017,Furniture,190.92
27/12/2016,Office Supplies,113.328
27/12/2016,Furniture,532.3992
27/12/2016,Furniture,212.058
27/12/2016,Technology,371.168
10/9/2018,Technology,147.168
17/07/2017,Office Supplies,77.88
19/09/2018,Office Supplies,95.616
11/3/2017,Technology,45.98
11/3/2017,Office Supplies,17.46
20/10/2015,Office Supplies,211.96
20/06/2017,Technology,45
20/06/2017,Technology,21.8
18/04/2016,Office Supplies,38.22
18/04/2016,Office Supplies,75.18
18/04/2016,Furniture,6.16
18/04/2016,Furniture,89.99
11/12/2017,Office Supplies,15.26
11/12/2017,Technology,1029.95
17/06/2017,Office Supplies,208.56
17/06/2017,Office Supplies,32.4
17/06/2017,Furniture,319.41
17/06/2017,Office Supplies,14.56
17/06/2017,Technology,30
17/06/2017,Office Supplies,48.48
17/06/2017,Office Supplies,1.68
24/11/2016,Technology,13.98
24/11/2016,Office Supplies,25.824
24/11/2016,Office Supplies,146.73
24/11/2016,Furniture,79.76
30/04/2016,Furniture,213.115
5/12/2015,Office Supplies,1113.024
5/12/2015,Technology,167.968
4/6/2017,Office Supplies,75.88
18/09/2017,Office Supplies,4.616
14/09/2018,Office Supplies,19.05
26/04/2016,Furniture,831.936
26/04/2016,Furniture,97.04
26/04/2016,Office Supplies,72.784
9/12/2018,Office Supplies,1.248
9/12/2018,Furniture,9.708
9/12/2018,Office Supplies,27.24
26/11/2015,Furniture,19.3
12/6/2017,Office Supplies,208.16
12/6/2017,Office Supplies,16.74
12/10/2015,Office Supplies,14.9
12/10/2015,Office Supplies,21.39
3/9/2016,Office Supplies,200.984
13/11/2018,Office Supplies,230.376
28/05/2018,Furniture,301.96
26/10/2018,Technology,19.99
26/10/2018,Office Supplies,6.16
5/4/2017,Office Supplies,158.368
17/09/2017,Office Supplies,20.1
17/09/2017,Technology,73.584
17/09/2017,Office Supplies,6.48
31/01/2016,Office Supplies,12.96
31/01/2016,Furniture,53.34
31/01/2016,Office Supplies,32.96
6/11/2018,Office Supplies,5.682
9/11/2018,Furniture,96.53
17/06/2018,Office Supplies,51.312
6/9/2017,Office Supplies,77.88
29/08/2017,Office Supplies,64.624
29/08/2017,Technology,95.976
29/08/2017,Office Supplies,1.788
1/12/2017,Office Supplies,23.92
13/11/2016,Technology,238.896
13/11/2016,Furniture,102.36
13/11/2016,Office Supplies,36.882
23/11/2018,Technology,74.112
23/11/2018,Technology,27.992
23/11/2018,Office Supplies,3.304
15/10/2016,Technology,339.96
25/12/2018,Furniture,41.96
3/11/2017,Office Supplies,75.96
3/11/2017,Office Supplies,27.24
25/08/2015,Office Supplies,40.096
25/08/2015,Office Supplies,4.72
25/08/2015,Office Supplies,23.976
25/08/2015,Office Supplies,130.464
2/3/2016,Furniture,787.53
5/4/2016,Office Supplies,157.794
12/6/2017,Furniture,47.04
12/6/2017,Office Supplies,30.84
12/6/2017,Office Supplies,226.56
12/6/2017,Office Supplies,115.02
12/6/2017,Technology,68.04
26/12/2015,Furniture,600.558
20/09/2015,Furniture,617.7
5/11/2018,Office Supplies,2.388
5/11/2018,Office Supplies,243.992
6/11/2017,Furniture,81.424
6/11/2017,Furniture,238.56
2/2/2018,Technology,59.97
2/2/2018,Office Supplies,78.304
2/2/2018,Office Supplies,21.456
13/10/2017,Office Supplies,20.04
13/10/2017,Office Supplies,35.44
13/10/2017,Office Supplies,11.52
13/10/2017,Office Supplies,4.02
13/10/2017,Office Supplies,76.176
13/10/2017,Office Supplies,65.88
13/10/2017,Furniture,43.12
5/9/2017,Furniture,82.8
18/09/2018,Office Supplies,8.82
18/09/2018,Office Supplies,10.86
18/09/2018,Office Supplies,143.7
22/12/2018,Office Supplies,839.43
7/9/2016,Office Supplies,671.93
22/10/2015,Furniture,93.888
5/12/2017,Technology,384.45
5/12/2017,Technology,149.97
5/12/2017,Furniture,1951.84
5/12/2017,Office Supplies,171.55
13/03/2017,Office Supplies,157.92
13/03/2017,Technology,203.184
31/05/2016,Office Supplies,58.38
31/05/2016,Office Supplies,105.52
31/05/2016,Office Supplies,80.88
28/05/2016,Office Supplies,6.63
1/3/2015,Furniture,457.568
20/11/2017,Office Supplies,14.62
20/11/2017,Technology,944.93
11/5/2017,Office Supplies,5.98
28/12/2016,Technology,54.384
